ticker,company,sector,price,trend,vcp,pocket_pivot,tight_weekly,flat_base,high_tight_flag,three_weeks_tight,ma_bounce,combined,classification,entry,stop,target,rr,dist_to_pivot,earnings,options_liquidity,group,warnings,opt_strike,opt_expiry,opt_delta,opt_premium,opt_breakeven
AMD,Adv. Micro Devices,AI/Semis,542.52001953125,100.0,80.0,75.0,65.0,28.0,75.0,60.0,48.0,67.1,B,546.44,505.05,629.23,2.0,0.72,2026-08-04,thin,ACTIVE,"Weak options liquidity: wide spread / low OI. | Setup is watchlist-only, not actionable yet.",510.0,2026-07-10,0.656,67.03,577.03
FTNT,Fortinet,Cybersecurity,146.47999572753906,100.0,85.0,80.0,65.0,22.0,75.0,60.0,24.0,66.1,B,149.03,140.49,166.1,2.0,1.71,2026-08-05,thin,ACTIVE,"Weak options liquidity: wide spread / low OI. | Setup is watchlist-only, not actionable yet.",140.0,2026-07-10,0.649,13.05,153.05
MU,Micron,AI/Semis,1079.5699462890625,100.0,65.0,75.0,65.0,22.0,60.0,60.0,48.0,61.2,B,1089.29,1002.15,1263.58,2.0,0.89,2026-06-24,thin,ACTIVE,"Weak options liquidity: wide spread / low OI. | Setup is watchlist-only, not actionable yet.",1010.0,2026-07-10,0.648,171.82,1181.82
TSM,Taiwan Semi,AI/Semis,436.69000244140625,90.0,80.0,33.0,65.0,70.0,40.0,60.0,40.0,60.2,B,450.16,426.88,496.74,2.0,2.99,2026-07-16,thin,WATCHLIST,"Weak options liquidity: wide spread / low OI. | Setup is watchlist-only, not actionable yet.",415.0,2026-07-10,0.661,38.77,453.77
CRWD,CrowdStrike,Cybersecurity,747.6099853515625,100.0,85.0,48.0,65.0,22.0,60.0,60.0,24.0,59.8,REJECT,785.66,733.73,889.53,2.0,4.84,2026-06-03,n/a,AVOID,Earnings within 7 days: IV crush risk. | Option chain unavailable: no strike recommendation.,,,,,
DDOG,Datadog,Cloud Software,250.3300018310547,100.0,70.0,33.0,65.0,16.0,65.0,60.0,24.0,53.7,REJECT,278.7,258.8,318.51,2.0,10.18,2026-08-06,n/a,AVOID,Option chain unavailable: no strike recommendation.,,,,,
ANET,Arista,Data Center,174.3699951171875,50.0,65.0,55.0,65.0,28.0,40.0,60.0,36.0,53.1,REJECT,179.8,169.48,200.45,2.0,3.02,2026-08-04,n/a,AVOID,Option chain unavailable: no strike recommendation.,,,,,
MRVL,Marvell,AI/Semis,301.6499938964844,100.0,70.0,48.0,50.0,16.0,60.0,45.0,24.0,51.7,REJECT,324.15,298.22,376.01,2.0,6.94,2026-08-27,n/a,AVOID,Option chain unavailable: no strike recommendation.,,,,,
AVGO,Broadcom,AI/Semis,479.2300109863281,100.0,65.0,48.0,65.0,22.0,25.0,60.0,24.0,51.3,REJECT,495.0,467.4,550.19,2.0,3.19,2026-06-03,n/a,AVOID,Earnings within 7 days: IV crush risk. | Option chain unavailable: no strike recommendation.,,,,,
NVDA,Nvidia,AI/Semis,214.75,80.0,50.0,21.0,80.0,40.0,15.0,80.0,60.0,51.1,REJECT,236.54,223.9,261.82,2.0,9.21,2026-08-26,n/a,AVOID,Option chain unavailable: no strike recommendation.,,,,,
